player-1,player-2,avg
AM Rahane,S Dhawan,77.93333333
AM Rahane,SK Raina,64.1875
AM Rahane,MA Agarwal,0
AM Rahane,RV Uthappa,52
AM Rahane,M Vijay,66
AM Rahane,B Kumar,39.73076923
AM Rahane,Yuvraj Singh,91.33333333
AM Rahane,Gurkeerat Singh,32.5
V Kohli,AM Rahane,93.21428571
AM Rahane,SS Iyer,32.66666667
AM Rahane,R Ashwin,40
AM Rahane,J Yadav,21
AM Rahane,YS Chahal,29.90909091
AM Rahane,KK Nair,0
AM Rahane,MK Tiwary,48.66666667
AM Rahane,MK Pandey,54.85714286
AM Rahane,Mohammed Siraj,0
AM Rahane,KM Jadhav,65.45454545
AM Rahane,UT Yadav,39.19230769
AM Rahane,Kuldeep Yadav,40.93333333
AM Rahane,RG Sharma,80.71428571
AM Rahane,STR Binny,75.16666667
AM Rahane,BB Sran,46.33333333
AM Rahane,SN Thakur,19.5
AM Rahane,S Kaul,0
AM Rahane,NA Saini,0
KL Rahul,AM Rahane,12
AM Rahane,PP Shaw,0
AM Rahane,A Mishra,39.77777778
AM Rahane,R Dhawan,32
KD Karthik,AM Rahane,75.5
AM Rahane,JJ Bumrah,27.0625
AM Rahane,Mohammed Shami,40.07692308
AM Rahane,MM Sharma,36.42857143
AM Rahane,Washington Sundar,0
AM Rahane,RR Pant,0
AM Rahane,DS Kulkarni,59.66666667
AM Rahane,HH Pandya,57.75
AM Rahane,Harbhajan Singh,49.42857143
AM Rahane,DL Chahar,0
AM Rahane,KK Ahmed,0
AM Rahane,Shubman Gill,0
AM Rahane,MS Dhoni,62.80952381
AM Rahane,AT Rayudu,100.75
AM Rahane,FY Fazal,0
AM Rahane,V Shankar,0
AM Rahane,I Sharma,47
AM Rahane,RA Jadeja,43.1875
AM Rahane,AR Patel,47
AM Rahane,S Dube,0
S Dhawan,SK Raina,67
S Dhawan,MA Agarwal,0
S Dhawan,RV Uthappa,0
M Vijay,S Dhawan,0
S Dhawan,B Kumar,49.4
S Dhawan,Yuvraj Singh,82
S Dhawan,Gurkeerat Singh,95
V Kohli,S Dhawan,99.98611111
S Dhawan,SS Iyer,85.27272727
S Dhawan,R Ashwin,42.04761905
S Dhawan,J Yadav,0
S Dhawan,YS Chahal,49.70588235
S Dhawan,KK Nair,0
S Dhawan,MK Tiwary,0
S Dhawan,MK Pandey,59.22222222
S Dhawan,Mohammed Siraj,32
S Dhawan,KM Jadhav,56.29268293
S Dhawan,UT Yadav,42.67857143
Kuldeep Yadav,S Dhawan,41.95121951
S Dhawan,RG Sharma,100.9452055
S Dhawan,STR Binny,51.75
S Dhawan,BB Sran,27.66666667
S Dhawan,SN Thakur,43.75
S Dhawan,S Kaul,38.5
S Dhawan,NA Saini,48
KL Rahul,S Dhawan,69.64285714
S Dhawan,PP Shaw,0
S Dhawan,A Mishra,26.75
S Dhawan,R Dhawan,94.66666667
KD Karthik,S Dhawan,53.94444444
JJ Bumrah,S Dhawan,48.14634146
S Dhawan,Mohammed Shami,34.13793103
S Dhawan,MM Sharma,45.15384615
S Dhawan,Washington Sundar,68
S Dhawan,RR Pant,61.42857143
S Dhawan,DS Kulkarni,65
S Dhawan,HH Pandya,55.69444444
S Dhawan,Harbhajan Singh,36.25
S Dhawan,DL Chahar,0
S Dhawan,KK Ahmed,17.75
S Dhawan,Shubman Gill,17.5
S Dhawan,MS Dhoni,69.26388889
S Dhawan,AT Rayudu,56.13636364
S Dhawan,FY Fazal,0
S Dhawan,V Shankar,56.88888889
S Dhawan,I Sharma,69.5
S Dhawan,RA Jadeja,48.47619048
S Dhawan,AR Patel,39.86666667
S Dhawan,S Dube,0
SK Raina,MA Agarwal,0
SK Raina,RV Uthappa,0
M Vijay,SK Raina,0
SK Raina,B Kumar,26.5
SK Raina,Yuvraj Singh,0
SK Raina,Gurkeerat Singh,0
V Kohli,SK Raina,63.9047619
SK Raina,SS Iyer,0
SK Raina,R Ashwin,41.5
SK Raina,J Yadav,0
SK Raina,YS Chahal,19.66666667
SK Raina,KK Nair,0
SK Raina,MK Tiwary,0
SK Raina,MK Pandey,0
SK Raina,Mohammed Siraj,0
SK Raina,KM Jadhav,0
SK Raina,UT Yadav,31.26666667
Kuldeep Yadav,SK Raina,18.33333333
SK Raina,RG Sharma,77.57894737
SK Raina,STR Binny,28.25
SK Raina,BB Sran,0
SK Raina,SN Thakur,23
SK Raina,S Kaul,23.5
SK Raina,NA Saini,0
KL Rahul,SK Raina,27.5
SK Raina,PP Shaw,0
SK Raina,A Mishra,18
SK Raina,R Dhawan,0
KD Karthik,SK Raina,22
JJ Bumrah,SK Raina,0
SK Raina,Mohammed Shami,37.3
SK Raina,MM Sharma,31.38461538
SK Raina,Washington Sundar,0
SK Raina,RR Pant,0
SK Raina,DS Kulkarni,37
SK Raina,HH Pandya,29.66666667
SK Raina,Harbhajan Singh,26.75
SK Raina,DL Chahar,0
SK Raina,KK Ahmed,0
SK Raina,Shubman Gill,0
SK Raina,MS Dhoni,61.0952381
SK Raina,AT Rayudu,38.25
SK Raina,FY Fazal,0
SK Raina,V Shankar,0
SK Raina,I Sharma,0
SK Raina,RA Jadeja,47.2
SK Raina,AR Patel,26.44444444
SK Raina,S Dube,0
MA Agarwal,RV Uthappa,0
M Vijay,MA Agarwal,0
B Kumar,MA Agarwal,0
MA Agarwal,Yuvraj Singh,0
MA Agarwal,Gurkeerat Singh,0
V Kohli,MA Agarwal,37
SS Iyer,MA Agarwal,84.33333333
R Ashwin,MA Agarwal,0
MA Agarwal,J Yadav,0
YS Chahal,MA Agarwal,7
MA Agarwal,KK Nair,0
MA Agarwal,MK Tiwary,0
MA Agarwal,MK Pandey,43
MA Agarwal,Mohammed Siraj,0
MA Agarwal,KM Jadhav,35
MA Agarwal,UT Yadav,0
Kuldeep Yadav,MA Agarwal,32
RG Sharma,MA Agarwal,0
STR Binny,MA Agarwal,0
MA Agarwal,BB Sran,0
SN Thakur,MA Agarwal,20.33333333
S Kaul,MA Agarwal,0
MA Agarwal,NA Saini,28.5
KL Rahul,MA Agarwal,80
MA Agarwal,PP Shaw,40
MA Agarwal,A Mishra,0
R Dhawan,MA Agarwal,0
KD Karthik,MA Agarwal,0
JJ Bumrah,MA Agarwal,12
Mohammed Shami,MA Agarwal,32
MM Sharma,MA Agarwal,0
Washington Sundar,MA Agarwal,0
RR Pant,MA Agarwal,0
DS Kulkarni,MA Agarwal,0
MA Agarwal,HH Pandya,0
MA Agarwal,Harbhajan Singh,0
MA Agarwal,DL Chahar,0
MA Agarwal,KK Ahmed,0
MA Agarwal,Shubman Gill,0
MA Agarwal,MS Dhoni,0
AT Rayudu,MA Agarwal,0
MA Agarwal,FY Fazal,0
MA Agarwal,V Shankar,0
MA Agarwal,I Sharma,0
RA Jadeja,MA Agarwal,33
MA Agarwal,AR Patel,0
MA Agarwal,S Dube,0
M Vijay,RV Uthappa,43.33333333
B Kumar,RV Uthappa,14.66666667
Yuvraj Singh,RV Uthappa,0
RV Uthappa,Gurkeerat Singh,0
V Kohli,RV Uthappa,0
SS Iyer,RV Uthappa,0
R Ashwin,RV Uthappa,0
RV Uthappa,J Yadav,0
YS Chahal,RV Uthappa,0
KK Nair,RV Uthappa,0
RV Uthappa,MK Tiwary,26
RV Uthappa,MK Pandey,102
RV Uthappa,Mohammed Siraj,0
RV Uthappa,KM Jadhav,56.66666667
RV Uthappa,UT Yadav,0
Kuldeep Yadav,RV Uthappa,0
RG Sharma,RV Uthappa,0
STR Binny,RV Uthappa,54.66666667
RV Uthappa,BB Sran,0
SN Thakur,RV Uthappa,0
S Kaul,RV Uthappa,0
NA Saini,RV Uthappa,0
KL Rahul,RV Uthappa,0
PP Shaw,RV Uthappa,0
A Mishra,RV Uthappa,0
R Dhawan,RV Uthappa,0
KD Karthik,RV Uthappa,0
JJ Bumrah,RV Uthappa,0
Mohammed Shami,RV Uthappa,0
MM Sharma,RV Uthappa,31
Washington Sundar,RV Uthappa,0
RR Pant,RV Uthappa,0
DS Kulkarni,RV Uthappa,6.5
HH Pandya,RV Uthappa,0
Harbhajan Singh,RV Uthappa,16.33333333
RV Uthappa,DL Chahar,0
KK Ahmed,RV Uthappa,0
Shubman Gill,RV Uthappa,0
MS Dhoni,RV Uthappa,0
AT Rayudu,RV Uthappa,89
RV Uthappa,FY Fazal,0
RV Uthappa,V Shankar,0
RV Uthappa,I Sharma,0
RA Jadeja,RV Uthappa,0
RV Uthappa,AR Patel,15.66666667
RV Uthappa,S Dube,0
M Vijay,B Kumar,28.66666667
M Vijay,Yuvraj Singh,0
M Vijay,Gurkeerat Singh,0
V Kohli,M Vijay,0
M Vijay,SS Iyer,0
